FID,Date,Island,Boat,Waypoint,Latitude,Longitude,Depth__m_,Habitat_Pr
67,10/19/2015 0:00:00,Montserrat,CC,125.000000000000000,16.832830000000001,-62.168349999999997,46.000000000000000,Low
68,10/19/2015 0:00:00,Montserrat,CC,126.000000000000000,16.831740000000000,-62.186729999999997,39.000000000000000,Low
69,10/19/2015 0:00:00,Montserrat,CC,127.000000000000000,16.831910000000001,-62.193280000000001,33.000000000000000,Medium
70,10/19/2015 0:00:00,Montserrat,CC,128.000000000000000,16.831620000000001,-62.195580000000000,32.000000000000000,Medium
71,10/19/2015 0:00:00,Montserrat,CC,129.000000000000000,16.830970000000001,-62.196370000000002,30.000000000000000,Low
72,10/19/2015 0:00:00,Montserrat,CC,130.000000000000000,16.830639999999999,-62.195760000000000,30.000000000000000,Low
73,10/19/2015 0:00:00,Montserrat,CC,131.000000000000000,16.838809999999999,-62.195079999999997,40.000000000000000,Slope
74,10/19/2015 0:00:00,Montserrat,CC,132.000000000000000,16.839829999999999,-62.194580000000002,42.000000000000000,Low
75,10/19/2015 0:00:00,Montserrat,CC,133.000000000000000,16.840610000000002,-62.195270000000001,41.000000000000000,Low
76,10/19/2015 0:00:00,Montserrat,CC,134.000000000000000,16.839939999999999,-62.195509999999999,40.000000000000000,Low
77,10/19/2015 0:00:00,Montserrat,CC,135.000000000000000,16.833010000000002,-62.201670000000000,32.000000000000000,Low
78,10/19/2015 0:00:00,Montserrat,CC,136.000000000000000,16.826129999999999,-62.205860000000001,25.000000000000000,Medium
79,10/19/2015 0:00:00,Montserrat,CC,136.000000000000000,16.826129999999999,-62.205860000000001,25.000000000000000,Medium
80,10/19/2015 0:00:00,Montserrat,CC,137.000000000000000,16.825900000000001,-62.205150000000003,24.000000000000000,Low
81,10/19/2015 0:00:00,Montserrat,CC,138.000000000000000,16.825220000000002,-62.205860000000001,25.000000000000000,Low
82,10/19/2015 0:00:00,Montserrat,CC,139.000000000000000,16.824380000000001,-62.206380000000003,25.000000000000000,Low
83,10/19/2015 0:00:00,Montserrat,CC,140.000000000000000,16.822749999999999,-62.206510000000002,23.000000000000000,Medium
84,10/19/2015 0:00:00,Montserrat,CC,141.000000000000000,16.816530000000000,-62.207450000000001,13.000000000000000,Medium
85,10/19/2015 0:00:00,Montserrat,CC,142.000000000000000,16.816109999999998,-62.207299999999996,10.000000000000000,Medium
86,10/19/2015 0:00:00,Montserrat,CC,143.000000000000000,16.815719999999999,-62.207549999999998,11.000000000000000,Medium
87,10/19/2015 0:00:00,Montserrat,CC,144.000000000000000,16.815890000000000,-62.207549999999998,14.000000000000000,Medium
88,10/19/2015 0:00:00,Montserrat,CC,145.000000000000000,16.812560000000001,-62.207780000000000,11.000000000000000,Low
89,10/19/2015 0:00:00,Montserrat,CC,146.000000000000000,16.811589999999999,-62.208419999999997,14.000000000000000,Low
90,10/19/2015 0:00:00,Montserrat,CC,146.000000000000000,16.811589999999999,-62.208419999999997,14.000000000000000,Low
91,10/19/2015 0:00:00,Montserrat,CC,147.000000000000000,16.809660000000001,-62.208250000000000,14.000000000000000,Low
92,10/19/2015 0:00:00,Montserrat,CC,148.000000000000000,16.809560000000001,-62.209370000000000,18.000000000000000,Slope
93,10/19/2015 0:00:00,Montserrat,CC,149.000000000000000,16.809139999999999,-62.210070000000002,20.000000000000000,Low
94,10/19/2015 0:00:00,Montserrat,CC,150.000000000000000,16.808160000000001,-62.211739999999999,30.000000000000000,Slope
95,10/19/2015 0:00:00,Montserrat,CC,151.000000000000000,16.807099999999998,-62.211950000000002,30.000000000000000,Low
96,10/21/2015 0:00:00,Montserrat,CC,176.000000000000000,16.685099999999998,-62.210020000000000,52.000000000000000,Slope
97,10/21/2015 0:00:00,Montserrat,CC,177.000000000000000,16.684380000000001,-62.210369999999998,65.000000000000000,Low
98,10/21/2015 0:00:00,Montserrat,CC,178.000000000000000,16.685600000000001,-62.211539999999999,48.000000000000000,Slope
99,10/21/2015 0:00:00,Montserrat,CC,179.000000000000000,16.692430000000002,-62.219619999999999,86.000000000000000,High
100,10/21/2015 0:00:00,Montserrat,CC,180.000000000000000,16.692470000000000,-62.219839999999998,89.000000000000000,High
101,10/21/2015 0:00:00,Montserrat,CC,181.000000000000000,16.695940000000000,-62.218319999999999,34.000000000000000,Dropoff
102,10/21/2015 0:00:00,Montserrat,CC,182.000000000000000,16.696819999999999,-62.218890000000002,31.000000000000000,Medium
103,10/21/2015 0:00:00,Montserrat,CC,183.000000000000000,16.698270000000001,-62.219520000000003,30.000000000000000,Medium
104,10/21/2015 0:00:00,Montserrat,CC,184.000000000000000,16.707329999999999,-62.229759999999999,37.000000000000000,Dropoff
